latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,11.0,-18000,America/New_York,GMT-5

time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),wind_speed_100m (km/h),wind_direction_100m (°)
2025-09-01T00:00,18.8,19.8,0.00,0.00,3,2.3,203
2025-09-01T01:00,18.0,18.9,0.00,0.00,3,3.0,308
2025-09-01T02:00,17.8,18.5,0.00,0.00,3,5.5,324
2025-09-01T03:00,17.6,18.1,0.00,0.00,3,11.6,347
2025-09-01T04:00,17.2,17.4,0.00,0.00,1,12.7,6
2025-09-01T05:00,16.9,16.6,0.00,0.00,1,15.8,15
2025-09-01T06:00,16.6,15.9,0.00,0.00,2,18.0,24
2025-09-01T07:00,18.0,17.5,0.00,0.00,1,16.5,24
2025-09-01T08:00,19.6,19.0,0.00,0.00,1,12.3,14
2025-09-01T09:00,22.3,21.6,0.00,0.00,2,11.1,36
2025-09-01T10:00,24.4,23.6,0.00,0.00,3,13.0,57
2025-09-01T11:00,25.7,24.7,0.00,0.00,3,18.7,65
2025-09-01T12:00,26.5,25.1,0.00,0.00,2,21.5,60
2025-09-01T13:00,26.6,24.8,0.00,0.00,0,23.8,52
2025-09-01T14:00,26.6,24.7,0.00,0.00,0,24.0,53
2025-09-01T15:00,26.2,23.6,0.00,0.00,0,24.6,57
2025-09-01T16:00,25.6,22.8,0.00,0.00,0,25.0,63
2025-09-01T17:00,24.7,22.2,0.00,0.00,0,23.7,67
2025-09-01T18:00,23.5,21.8,0.00,0.00,0,20.5,66
2025-09-01T19:00,22.6,21.7,0.00,0.00,0,18.4,63
2025-09-01T20:00,21.6,21.4,0.00,0.00,0,12.0,76
2025-09-01T21:00,21.0,21.3,0.00,0.00,0,9.3,75
2025-09-01T22:00,20.5,20.8,0.00,0.00,1,8.7,73
2025-09-01T23:00,20.2,20.5,0.00,0.00,3,11.2,89
2025-09-02T00:00,19.9,20.1,0.00,0.00,1,12.1,96
2025-09-02T01:00,19.0,19.3,0.00,0.00,0,11.1,83
2025-09-02T02:00,18.2,18.3,0.00,0.00,0,12.2,65
2025-09-02T03:00,17.5,17.5,0.00,0.00,0,13.8,57
2025-09-02T04:00,17.0,17.0,0.00,0.00,0,13.9,50
2025-09-02T05:00,16.5,16.6,0.00,0.00,0,14.4,46
2025-09-02T06:00,16.6,16.9,0.00,0.00,0,14.4,36
2025-09-02T07:00,17.9,18.5,0.00,0.00,0,10.9,33
2025-09-02T08:00,19.6,20.0,0.00,0.00,0,10.1,33
2025-09-02T09:00,21.8,21.5,0.00,0.00,0,11.2,44
2025-09-02T10:00,23.5,23.4,0.00,0.00,1,10.8,58
2025-09-02T11:00,24.9,25.0,0.00,0.00,1,10.2,66
2025-09-02T12:00,26.0,26.2,0.00,0.00,0,10.2,76
2025-09-02T13:00,26.8,27.0,0.00,0.00,1,9.6,98
2025-09-02T14:00,26.9,26.6,0.00,0.00,2,11.2,138
2025-09-02T15:00,25.6,24.4,0.00,0.00,2,17.6,153
2025-09-02T16:00,24.1,22.5,0.00,0.00,0,20.3,155
2025-09-02T17:00,22.9,21.7,0.00,0.00,0,19.7,152
2025-09-02T18:00,21.3,21.0,0.00,0.00,0,16.7,154
2025-09-02T19:00,20.3,20.5,0.00,0.00,0,15.3,150
2025-09-02T20:00,19.7,20.0,0.00,0.00,0,12.5,147
2025-09-02T21:00,19.4,20.3,0.00,0.00,0,9.3,148
2025-09-02T22:00,19.0,20.2,0.00,0.00,0,7.8,148
2025-09-02T23:00,18.5,20.3,0.00,0.00,0,5.2,146
2025-09-03T00:00,17.9,19.4,0.00,0.00,0,0.9,11
2025-09-03T01:00,17.1,18.5,0.00,0.00,0,4.3,345
2025-09-03T02:00,16.8,18.3,0.00,0.00,0,5.4,358
2025-09-03T03:00,16.5,18.1,0.00,0.00,0,5.4,2
2025-09-03T04:00,16.0,17.4,0.00,0.00,0,6.5,352
2025-09-03T05:00,15.5,16.7,0.00,0.00,0,8.5,355
2025-09-03T06:00,15.7,17.0,0.00,0.00,0,8.9,34
2025-09-03T07:00,17.6,18.9,0.00,0.00,0,7.9,69
2025-09-03T08:00,19.5,20.6,0.00,0.00,0,2.5,82
2025-09-03T09:00,21.9,22.5,0.00,0.00,0,1.6,63
2025-09-03T10:00,23.8,24.4,0.00,0.00,0,2.5,86
2025-09-03T11:00,25.2,26.2,0.00,0.00,0,3.6,131
2025-09-03T12:00,26.1,27.1,0.00,0.00,1,5.5,153
2025-09-03T13:00,26.4,26.7,0.00,0.00,0,11.2,169
2025-09-03T14:00,26.0,25.6,0.00,0.00,0,15.3,167
2025-09-03T15:00,24.5,22.7,0.00,0.00,1,20.1,158
2025-09-03T16:00,24.0,22.8,0.00,0.00,1,17.1,152
2025-09-03T17:00,23.1,21.6,0.00,0.00,0,17.2,151
2025-09-03T18:00,21.5,20.6,0.00,0.00,0,16.2,153
2025-09-03T19:00,20.5,20.3,0.00,0.00,0,14.8,156
2025-09-03T20:00,20.0,20.0,0.00,0.00,0,15.1,165
2025-09-03T21:00,19.5,19.9,0.00,0.00,0,14.8,184
2025-09-03T22:00,19.1,19.7,0.00,0.00,0,14.9,189
2025-09-03T23:00,18.7,19.6,0.00,0.00,0,13.1,187
2025-09-04T00:00,18.1,19.2,0.00,0.00,0,12.3,186
2025-09-04T01:00,17.7,18.8,0.00,0.00,0,12.7,224
2025-09-04T02:00,17.4,18.4,0.00,0.00,0,12.6,217
2025-09-04T03:00,17.0,18.0,0.00,0.00,0,12.7,210
2025-09-04T04:00,16.4,17.6,0.00,0.00,0,11.4,206
2025-09-04T05:00,16.0,17.2,0.00,0.00,0,11.3,207
2025-09-04T06:00,16.4,17.7,0.00,0.00,0,11.1,203
2025-09-04T07:00,18.1,19.5,0.00,0.00,0,9.3,171
2025-09-04T08:00,20.3,21.2,0.00,0.00,1,9.0,164
2025-09-04T09:00,22.7,22.9,0.00,0.00,0,14.7,169
2025-09-04T10:00,24.5,24.6,0.00,0.00,0,19.1,169
2025-09-04T11:00,25.2,25.1,0.60,0.60,53,24.9,168
2025-09-04T12:00,24.9,25.1,0.70,0.70,53,27.2,159
2025-09-04T13:00,24.2,24.3,1.10,1.10,55,29.7,169
2025-09-04T14:00,23.9,23.4,0.30,0.30,51,29.3,158
2025-09-04T15:00,24.5,23.7,0.10,0.10,51,31.7,156
2025-09-04T16:00,23.9,23.5,0.00,0.00,1,30.9,157
2025-09-04T17:00,23.2,23.1,0.00,0.00,1,28.5,157
2025-09-04T18:00,22.2,22.6,0.00,0.00,3,27.1,157
2025-09-04T19:00,21.8,22.1,0.00,0.00,3,28.1,171
2025-09-04T20:00,22.0,22.9,0.40,0.40,51,22.2,178
2025-09-04T21:00,21.5,22.6,0.60,0.60,53,21.2,190
2025-09-04T22:00,20.5,21.3,0.40,0.40,51,23.1,188
2025-09-04T23:00,19.8,21.1,1.90,1.90,61,18.1,197
2025-09-05T00:00,19.2,20.0,2.00,2.00,61,24.8,203
2025-09-05T01:00,19.2,20.3,1.00,1.00,55,22.7,198
2025-09-05T02:00,19.2,20.5,0.20,0.20,51,20.6,210
2025-09-05T03:00,18.9,20.8,0.00,0.00,0,17.4,223
2025-09-05T04:00,18.4,20.4,0.00,0.00,0,15.9,228
2025-09-05T05:00,18.1,20.2,0.00,0.00,0,14.9,234
2025-09-05T06:00,18.5,20.9,0.00,0.00,0,13.8,248
2025-09-05T07:00,20.0,21.8,0.00,0.00,3,13.8,258
2025-09-05T08:00,22.2,24.6,0.00,0.00,2,10.3,243
2025-09-05T09:00,23.7,25.9,0.00,0.00,1,10.2,234
2025-09-05T10:00,25.0,27.2,0.00,0.00,0,10.5,204
2025-09-05T11:00,26.0,28.7,0.00,0.00,0,14.6,196
2025-09-05T12:00,27.0,29.1,0.00,0.00,1,18.9,204
2025-09-05T13:00,28.1,29.3,0.00,0.00,1,23.0,194
2025-09-05T14:00,28.2,29.6,0.00,0.00,1,20.5,172
2025-09-05T15:00,28.5,29.5,0.00,0.00,2,20.2,172
2025-09-05T16:00,28.0,29.8,0.00,0.00,1,17.9,171
2025-09-05T17:00,28.1,30.2,0.00,0.00,3,16.6,197
2025-09-05T18:00,27.1,27.9,0.00,0.00,0,22.2,224
2025-09-05T19:00,25.5,27.1,0.00,0.00,0,19.8,200
2025-09-05T20:00,24.8,27.0,0.00,0.00,0,21.9,190
2025-09-05T21:00,24.4,26.7,0.00,0.00,0,23.4,191
2025-09-05T22:00,23.9,26.0,0.00,0.00,0,24.8,195
2025-09-05T23:00,23.5,25.6,0.00,0.00,0,24.8,202
2025-09-06T00:00,23.4,25.5,0.00,0.00,0,24.2,205
2025-09-06T01:00,23.1,25.3,0.00,0.00,0,23.4,208
2025-09-06T02:00,22.9,25.0,0.00,0.00,3,22.5,213
2025-09-06T03:00,22.6,25.0,0.00,0.00,3,20.0,219
2025-09-06T04:00,22.3,24.9,0.00,0.00,3,18.1,223
2025-09-06T05:00,22.0,24.5,0.00,0.00,0,17.8,208
2025-09-06T06:00,21.9,24.6,0.00,0.00,0,15.9,205
2025-09-06T07:00,23.2,26.3,0.00,0.00,3,15.8,203
2025-09-06T08:00,24.5,27.5,0.10,0.10,51,11.8,192
2025-09-06T09:00,26.0,28.9,0.00,0.00,0,13.7,183
2025-09-06T10:00,27.9,30.7,0.00,0.00,3,15.9,184
2025-09-06T11:00,29.2,32.7,0.00,0.00,3,18.4,178
2025-09-06T12:00,30.1,33.2,0.00,0.00,3,22.3,182
2025-09-06T13:00,24.3,26.0,5.10,5.10,63,32.0,228
2025-09-06T14:00,26.0,29.1,0.30,0.30,51,16.0,234
2025-09-06T15:00,26.9,30.2,0.10,0.10,51,13.6,246
2025-09-06T16:00,23.3,26.5,1.70,1.70,61,15.2,249
2025-09-06T17:00,22.0,24.9,7.80,7.80,65,15.8,236
2025-09-06T18:00,21.8,25.2,0.70,0.70,53,10.7,225
2025-09-06T19:00,21.6,25.4,0.00,0.00,3,9.4,265
2025-09-06T20:00,21.4,23.9,1.20,1.20,55,17.7,24
2025-09-06T21:00,19.9,21.8,2.40,2.40,61,17.3,23
2025-09-06T22:00,19.1,20.7,1.00,1.00,55,15.5,23
2025-09-06T23:00,18.8,20.4,0.40,0.40,51,13.2,7
2025-09-07T00:00,18.5,20.2,0.60,0.60,53,12.4,359
2025-09-07T01:00,18.1,19.8,2.00,2.00,61,11.7,23
2025-09-07T02:00,17.9,19.5,0.50,0.50,53,10.1,10
2025-09-07T03:00,17.6,19.3,0.50,0.50,53,9.4,12
2025-09-07T04:00,17.5,18.8,0.20,0.20,51,10.5,27
2025-09-07T05:00,17.4,18.6,0.20,0.20,51,10.9,31
2025-09-07T06:00,17.2,18.7,2.00,2.00,61,8.8,15
2025-09-07T07:00,17.0,18.1,5.30,5.30,63,10.0,353
2025-09-07T08:00,16.8,18.3,3.40,3.40,63,2.6,304
2025-09-07T09:00,17.1,18.6,0.40,0.40,51,3.3,338
2025-09-07T10:00,18.5,19.4,0.50,0.50,53,7.6,308
2025-09-07T11:00,18.4,19.2,1.00,1.00,55,9.8,322
2025-09-07T12:00,19.0,20.0,0.60,0.60,53,8.1,302
2025-09-07T13:00,19.2,20.1,0.10,0.10,51,7.5,310
2025-09-07T14:00,19.6,20.4,0.00,0.00,3,4.5,323
2025-09-07T15:00,20.0,20.8,0.00,0.00,3,4.6,291
2025-09-07T16:00,20.8,21.6,0.00,0.00,3,6.0,245
2025-09-07T17:00,20.5,21.1,0.00,0.00,3,9.3,217
2025-09-07T18:00,19.5,20.4,0.00,0.00,2,12.2,200
2025-09-07T19:00,18.4,19.4,0.00,0.00,3,13.1,199
2025-09-07T20:00,18.2,19.6,0.00,0.00,0,10.9,207
2025-09-07T21:00,18.4,19.3,0.10,0.10,51,14.4,323
2025-09-07T22:00,17.8,17.1,0.00,0.00,1,20.7,3
2025-09-07T23:00,17.0,16.3,0.00,0.00,2,18.3,7
2025-09-08T00:00,16.6,15.8,0.00,0.00,3,18.9,3
2025-09-08T01:00,16.0,15.5,0.00,0.00,0,16.8,4
2025-09-08T02:00,15.3,14.9,0.00,0.00,0,15.5,358
2025-09-08T03:00,14.6,14.0,0.00,0.00,0,17.3,346
2025-09-08T04:00,13.8,12.8,0.00,0.00,1,18.6,342
2025-09-08T05:00,13.1,12.1,0.00,0.00,0,18.6,347
2025-09-08T06:00,13.1,12.0,0.00,0.00,0,17.5,358
2025-09-08T07:00,14.4,13.4,0.00,0.00,0,20.2,352
2025-09-08T08:00,15.9,14.9,0.00,0.00,0,12.8,349
2025-09-08T09:00,17.9,16.7,0.00,0.00,0,11.7,356
2025-09-08T10:00,19.2,18.4,0.00,0.00,2,13.7,355
2025-09-08T11:00,20.1,19.9,0.00,0.00,0,12.8,1
2025-09-08T12:00,20.9,21.3,0.00,0.00,0,10.7,13
2025-09-08T13:00,21.4,21.7,0.00,0.00,0,10.3,11
2025-09-08T14:00,21.6,21.5,0.00,0.00,0,10.8,15
2025-09-08T15:00,21.6,20.6,0.00,0.00,0,11.2,18
2025-09-08T16:00,21.2,19.8,0.00,0.00,0,10.7,20
2025-09-08T17:00,20.7,19.6,0.00,0.00,0,9.7,31
2025-09-08T18:00,18.9,18.7,0.00,0.00,0,12.6,44
2025-09-08T19:00,17.8,17.4,0.00,0.00,0,14.9,55
2025-09-08T20:00,17.5,17.9,0.00,0.00,0,6.4,155
2025-09-08T21:00,16.5,16.9,0.00,0.00,0,6.3,211
2025-09-08T22:00,16.0,16.4,0.00,0.00,0,7.5,255
2025-09-08T23:00,15.4,15.7,0.00,0.00,0,5.9,308
2025-09-09T00:00,15.1,15.1,0.00,0.00,0,8.5,348
2025-09-09T01:00,14.6,14.5,0.00,0.00,0,10.8,18
2025-09-09T02:00,14.1,14.1,0.00,0.00,0,12.9,44
2025-09-09T03:00,13.8,13.9,0.00,0.00,0,13.8,39
2025-09-09T04:00,13.5,13.6,0.00,0.00,0,14.4,37
2025-09-09T05:00,13.2,13.0,0.00,0.00,0,16.1,33
2025-09-09T06:00,13.2,12.9,0.00,0.00,0,16.8,35
2025-09-09T07:00,14.6,14.4,0.00,0.00,0,17.8,35
2025-09-09T08:00,15.9,15.4,0.00,0.00,0,12.6,29
2025-09-09T09:00,18.1,17.6,0.00,0.00,0,12.7,32
2025-09-09T10:00,19.9,19.3,0.00,0.00,0,16.8,49
2025-09-09T11:00,20.9,20.0,0.00,0.00,0,19.1,60
2025-09-09T12:00,21.4,21.3,0.00,0.00,0,17.0,64
2025-09-09T13:00,21.9,22.4,0.00,0.00,0,14.0,66
2025-09-09T14:00,22.2,22.7,0.00,0.00,3,12.2,65
2025-09-09T15:00,22.2,21.8,0.00,0.00,3,12.2,59
2025-09-09T16:00,21.8,20.8,0.00,0.00,3,15.1,57
2025-09-09T17:00,20.8,19.8,0.00,0.00,1,18.3,55
2025-09-09T18:00,19.2,18.4,0.00,0.00,0,20.8,53
2025-09-09T19:00,18.1,17.4,0.00,0.00,0,19.2,67
2025-09-09T20:00,17.7,17.7,0.00,0.00,0,15.8,73
2025-09-09T21:00,17.2,16.9,0.00,0.00,3,17.4,68
2025-09-09T22:00,16.8,16.3,0.00,0.00,3,19.1,65
2025-09-09T23:00,16.5,16.1,0.00,0.00,3,19.8,63
2025-09-10T00:00,16.5,16.5,0.00,0.00,3,18.8,56
2025-09-10T01:00,16.5,16.4,0.00,0.00,3,19.6,54
2025-09-10T02:00,16.1,15.6,0.00,0.00,3,20.3,42
2025-09-10T03:00,15.8,14.9,0.00,0.00,3,20.6,35
2025-09-10T04:00,15.6,14.6,0.00,0.00,3,20.9,33
2025-09-10T05:00,15.6,14.4,0.00,0.00,3,22.6,32
2025-09-10T06:00,15.6,14.2,0.00,0.00,3,22.9,30
2025-09-10T07:00,15.8,14.9,0.00,0.00,3,18.7,20
2025-09-10T08:00,15.2,14.5,1.40,1.40,61,26.1,31
2025-09-10T09:00,15.7,15.3,1.50,1.50,61,24.2,29
2025-09-10T10:00,16.4,16.4,1.00,1.00,55,19.2,10
2025-09-10T11:00,16.9,16.9,0.80,0.80,53,19.1,9
2025-09-10T12:00,18.0,17.9,0.30,0.30,51,19.4,17
2025-09-10T13:00,19.5,19.4,0.00,0.00,3,18.3,17
2025-09-10T14:00,20.4,20.3,0.00,0.00,3,17.3,21
2025-09-10T15:00,20.4,20.4,0.00,0.00,3,16.3,21
2025-09-10T16:00,20.6,20.8,0.00,0.00,3,15.0,10
2025-09-10T17:00,20.4,20.5,0.00,0.00,0,15.9,5
2025-09-10T18:00,19.6,20.1,0.00,0.00,1,17.2,10
2025-09-10T19:00,18.9,19.3,0.00,0.00,0,17.5,22
2025-09-10T20:00,20.6,21.7,0.00,0.00,3,10.8,28
2025-09-10T21:00,20.3,20.8,0.00,0.00,3,13.4,11
2025-09-10T22:00,19.8,20.4,0.00,0.00,0,13.3,3
2025-09-10T23:00,19.1,19.6,0.00,0.00,0,15.4,5
2025-09-11T00:00,18.1,18.4,0.00,0.00,0,17.3,3
2025-09-11T01:00,17.5,17.7,0.00,0.00,0,17.8,360
2025-09-11T02:00,16.9,16.9,0.00,0.00,0,18.0,359
2025-09-11T03:00,16.3,16.3,0.00,0.00,0,17.1,2
2025-09-11T04:00,15.9,15.7,0.00,0.00,0,17.0,13
2025-09-11T05:00,15.4,15.2,0.00,0.00,0,16.5,14
2025-09-11T06:00,15.4,15.1,0.00,0.00,0,16.4,4
2025-09-11T07:00,16.6,16.6,0.00,0.00,0,16.2,1
2025-09-11T08:00,18.7,19.0,0.00,0.00,0,9.2,340
2025-09-11T09:00,21.1,21.3,0.00,0.00,0,7.4,346
2025-09-11T10:00,23.5,23.6,0.00,0.00,0,8.8,360
2025-09-11T11:00,25.1,24.9,0.00,0.00,3,12.3,5
2025-09-11T12:00,26.0,25.8,0.00,0.00,1,12.8,4
2025-09-11T13:00,26.6,26.0,0.00,0.00,0,14.4,3
2025-09-11T14:00,26.9,25.6,0.00,0.00,0,16.9,359
2025-09-11T15:00,26.6,24.3,0.00,0.00,1,19.3,356
2025-09-11T16:00,26.0,23.2,0.00,0.00,1,19.1,357
2025-09-11T17:00,25.2,22.9,0.00,0.00,0,17.2,10
2025-09-11T18:00,23.8,22.7,0.00,0.00,0,13.4,24
2025-09-11T19:00,22.2,21.7,0.00,0.00,0,14.3,41
2025-09-11T20:00,21.6,22.1,0.00,0.00,0,8.3,70
2025-09-11T21:00,21.2,21.7,0.00,0.00,0,6.7,82
2025-09-11T22:00,20.4,20.9,0.00,0.00,0,2.8,145
2025-09-11T23:00,19.1,19.6,0.00,0.00,0,4.2,260
2025-09-12T00:00,18.2,18.6,0.00,0.00,0,7.2,332
